end,mid,lambda,cdfMid,cdfEnd,pdfStart,pdfEnd
6,3,3.577769559,0.519948066,0.928549387,0.027937943,0.081383453
7,3,3.667087319,0.501043941,0.966269546,0.025550783,0.045208743
8,3,3.693723116,0.495464133,0.986431884,0.024879201,0.021381128
9,3,3.699112594,0.494338479,0.995159515,0.024745476,0.008843226
10,3,3.699934911,0.49416683,0.998428032,0.024725136,0.003275793
11,3,3.700036071,0.494145715,0.999529759,0.024722635,0.001102058
12,3,3.700046421,0.494143555,0.99986956,0.024722379,0.000339813
13,3,3.700047317,0.494143368,0.999966277,0.024722357,9.67173E-05
14,3,3.700047384,0.494143354,0.999991839,0.024722355,2.55613E-05
15,3,3.700047388,0.494143353,0.999998144,0.024722355,6.30521E-06
16,3,3.700047388,0.494143353,0.999999602,0.024722355,1.4581E-06
17,3,3.700047388,0.494143353,0.999999919,0.024722355,3.17355E-07
18,3,3.700047388,0.494143353,0.999999984,0.024722355,6.52349E-08
19,3,3.700047388,0.494143353,0.999999997,0.024722355,1.27038E-08
20,3,3.700047388,0.494143353,1,0.024722355,2.35023E-09
21,3,3.700047388,0.494143353,1,0.024722355,4.14094E-10
22,3,3.700047388,0.494143353,1,0.024722355,6.9644E-11
23,3,3.700047388,0.494143353,1,0.024722355,1.12037E-11
24,3,3.700047388,0.494143353,1,0.024722355,1.72727E-12
25,3,3.700047388,0.494143353,1,0.024722355,2.55639E-13
26,3,3.700047388,0.494143353,1,0.024722355,3.63798E-14
27,3,3.700047388,0.494143353,1,0.024722355,4.98544E-15
28,3,3.700047388,0.494143353,1,0.024722355,6.58799E-16
29,3,3.700047388,0.494143353,1,0.024722355,8.40548E-17
30,3,3.700047388,0.494143353,1,0.024722355,1.03669E-17
7,4,4.483499289,0.535238382,0.914766344,0.011293824,0.081607524
8,4,4.610775809,0.511214665,0.954387325,0.009944101,0.050377549
9,4,4.659609492,0.502100149,0.978906291,0.00947016,0.027023399
10,4,4.672762378,0.499655826,0.991331268,0.009346416,0.012782595
11,4,4.675437833,0.499159185,0.996746717,0.009321443,0.0054497
12,4,4.675878678,0.49907737,0.998869091,0.009317335,0.002124778
13,4,4.675939739,0.499066038,0.999633291,0.009316766,0.00076433
14,4,4.675946984,0.499064694,0.999888572,0.009316698,0.000255286
15,4,4.675947729,0.499064555,0.999968153,0.009316691,7.95805E-05
16,4,4.675947797,0.499064543,0.99999141,0.009316691,2.32572E-05
17,4,4.675947802,0.499064542,0.999997807,0.009316691,6.39701E-06
18,4,4.675947802,0.499064542,0.999999468,0.009316691,1.66178E-06
19,4,4.675947802,0.499064542,0.999999877,0.009316691,4.08969E-07
20,4,4.675947802,0.499064542,0.999999973,0.009316691,9.56159E-08
21,4,4.675947802,0.499064542,0.999999994,0.009316691,2.12902E-08
22,4,4.675947802,0.499064542,0.999999999,0.009316691,4.52509E-09
23,4,4.675947802,0.499064542,1,0.009316691,9.19961E-10
24,4,4.675947802,0.499064542,1,0.009316691,1.79237E-10
25,4,4.675947802,0.499064542,1,0.009316691,3.35241E-11
26,4,4.675947802,0.499064542,1,0.009316691,6.02912E-12
27,4,4.675947802,0.499064542,1,0.009316691,1.04414E-12
28,4,4.675947802,0.499064542,1,0.009316691,1.7437E-13
29,4,4.675947802,0.499064542,1,0.009316691,2.81153E-14
30,4,4.675947802,0.499064542,1,0.009316691,4.38219E-15
8,5,5.403151603,0.545587504,0.902394723,0.004502369,0.081114366
9,5,5.564185702,0.517950484,0.942825258,0.0038327,0.05399535
10,5,5.638189161,0.505393312,0.970579699,0.003559308,0.031841898
11,5,5.663057514,0.501196578,0.986489969,0.003471885,0.016709765
12,5,5.669411245,0.500126277,0.994325383,0.003449896,0.007941902
13,5,5.670727524,0.499904647,0.997784352,0.003445358,0.00346943
14,5,5.670958134,0.499865821,0.999189328,0.003444563,0.001405776
15,5,5.670993052,0.499859942,0.999720782,0.003444443,0.000531503
16,5,5.670997671,0.499859165,0.999909166,0.003444427,0.000188386
17,5,5.670998215,0.499859073,0.999972009,0.003444425,6.28434E-05
18,5,5.670998272,0.499859064,0.999991808,0.003444425,1.97992E-05
19,5,5.670998277,0.499859063,0.999997718,0.003444425,5.90953E-06
20,5,5.670998277,0.499859063,0.999999393,0.003444425,1.67565E-06
21,5,5.670998277,0.499859063,0.999999846,0.003444425,4.52504E-07
22,5,5.670998277,0.499859063,0.999999962,0.003444425,1.16643E-07
23,5,5.670998277,0.499859063,0.999999991,0.003444425,2.87602E-08
24,5,5.670998277,0.499859063,0.999999998,0.003444425,6.79578E-09
25,5,5.670998277,0.499859063,1,0.003444425,1.54155E-09
26,5,5.670998277,0.499859063,1,0.003444425,3.36237E-10
27,5,5.670998277,0.499859063,1,0.003444425,7.06221E-11
28,5,5.670998277,0.499859063,1,0.003444425,1.43035E-11
29,5,5.670998277,0.499859063,1,0.003444425,2.79707E-12
30,5,5.670998277,0.499859063,1,0.003444425,5.2874E-13
10,6,6.514990566,0.524164237,0.932321702,0.00148107,0.056227714
11,6,6.614298681,0.508607909,0.96220243,0.001341055,0.035613339
12,6,6.653846926,0.502451445,0.981043301,0.001289054,0.020267851
13,6,6.665975897,0.500568061,0.991290531,0.001273513,0.010494258
14,6,6.668994509,0.500099684,0.99627217,0.001269675,0.005013363
15,6,6.669631824,0.500000815,0.998499689,0.001268866,0.002230715
16,6,6.66974882,0.499982665,0.999429458,0.001268717,0.00093003
17,6,6.669767749,0.499979729,0.999794337,0.001268693,0.000364897
18,6,6.669770472,0.499979306,0.999929547,0.00126869,0.000135211
19,6,6.669770823,0.499979252,0.999977011,0.001268689,4.74644E-05
20,6,6.669770864,0.499979245,0.99999284,0.001268689,1.58288E-05
21,6,6.669770868,0.499979245,0.999997867,0.001268689,5.02737E-06
22,6,6.669770869,0.499979245,0.999999391,0.001268689,1.52415E-06
23,6,6.669770869,0.499979245,0.999999833,0.001268689,4.41989E-07
24,6,6.669770869,0.499979245,0.999999956,0.001268689,1.22832E-07
